Name,Smiles
221,C/C(=C\c1ccccc1)C(=O)Nc1nc2ccc([N+](=O)[O-])cc2s1
222,Cc1nc2cc(-c3nc4ccccc4o3)ccc2[nH]1
223,O=C(O)c1cc(N/N=C/C=C/c2ccccc2[N+](=O)[O-])ccc1Cl
224,c1ccc(SCc2nc3ccccc3[nH]2)cc1
225,CC(=O)Nc1ccc2oc(-c3ccccc3)nc2c1
226,COc1ccc(NC(=O)c2cc(-c3ccccc3)on2)cc1
227,Cc1nc2cc(NC(=O)NC(C)(C)C)ccc2n1C
228,O=C(/C=C/Nc1ccccc1)c1ccccc1
229,CCOc1ccc(C(=O)NCC2CCCO2)cc1
230,CN(C)c1ccc(Nc2cc(Cl)ncn2)cc1
231,Cc1ccc(C2=NN(S(C)(=O)=O)C(c3cccs3)C2)cc1
232,Fc1cccc(CSc2ncnc3c2ncn3C2CCCCO2)c1
233,O=C(/N=C1\SCC(=O)N1c1ccccc1)c1ccco1
234,CCOc1ccc2nc(N3CCCCCC3)sc2c1
235,c1ccn2cc(CSc3nnc4ccccn34)nc2c1
236,C/C(=N/NC(=O)c1cccs1)c1ccc(N2CCOCC2)cc1
237,O=C(c1ccc2c3n(nc2c1)-c1ccccc1CO3)N1CCCCC1
238,[O-][n+]1nc2ccccc2c2ccccc21
239,COc1ccc2oc(=O)c(C(=O)Nc3cccc(C(C)=O)c3)cc2c1
240,COc1ccc(C(=O)Cc2cnn(-c3ccccc3)c2)c(O)c1
241,CC(C)c1ccc(C(=O)NCc2ccc(Cl)cc2)cc1
242,O=C(N=Nc1c(O)[nH]c2ccccc12)c1ccc2c(c1)OCO2
243,CN1CCN(/C=N/c2sc3c(c2C#N)CCCCC3)CC1
244,CSc1ccc(/C=N/NC(=O)c2cccc(O)c2)cc1
245,CCn1c(C)nc2cc(C(=O)N/N=C/c3ccccc3)ccc21
246,Cc1cccc(C)c1NC(=O)c1cccc(COc2cc(Cl)ccc2Cl)c1
247,CC(=O)Nc1cccc(-c2csc(Nc3ccccn3)n2)c1
248,c1ccc(-c2noc(C3CCCCC3)n2)nc1
249,CC(C)(C)c1ccc(/C=C/C(=O)Nc2nncs2)cc1
250,Cc1cc(C)c2c(N)c(C(=O)N/N=C/c3cccs3)sc2n1
251,Clc1ccc(-c2nnc(-c3ccc(Br)o3)o2)c(Cl)c1
252,O=C(/C=C/c1cccc(F)c1)N1CCc2ccccc21
253,O=C(Nc1ccc2c(c1)OCCO2)C1CC(c2ccccc2Cl)=NO1
254,CCN(Cc1ccccc1)C(=O)CCCOc1ccccc1
255,COc1cccc(/C=C/c2cnc3ccccc3n2)c1OC
256,S=C(c1ccc(-c2ccc(Br)cc2)o1)N1CCOCC1
257,O=C(N/N=C/c1ccccc1[N+](=O)[O-])c1cccs1
258,c1ccc(-n2ncc3c(N4CCC5(CC4)OCCO5)ncnc32)cc1
259,O=C(c1ccco1)N1CCN(C(=O)c2cc(-c3ccccc3F)no2)CC1
260,Cc1nc2oc3ccc(Cl)cc3c(=O)c2cc1C(=O)O
261,COc1ccc2nc(N3CCCC(O)C3)c(C#N)cc2c1
262,O=C(CSc1nnc(-c2ccncc2)o1)Nc1cc(F)ccc1F
263,Cc1cc(C(=O)COC(=O)C2=COCCO2)c(C)n1-c1cccc(F)c1
264,CCOC(=O)C1(C)C=C(Nc2cccc(C(=O)O)c2)C(=O)N1c1ccccc1
265,COc1ccc2oc(C(=O)N3CCCc4ccccc43)c(C)c2c1
266,COCCNC(=O)/C=C/c1c(Cl)cccc1Cl
267,CCCn1nc(NC(=O)C2CCCO2)c2cc3cc(C)ccc3nc21
268,C=CCNc1nc(Cl)nc(Nc2ccccc2)n1
269,Cc1ccccc1NC(=O)c1onc2c1CCCC2
270,COc1ccc(NC(=O)c2ccco2)c([N+](=O)[O-])c1
271,CC1CC1C(=O)OCC(=O)NC(=O)NC12CC3CC(CC(C3)C1)C2
272,Cc1ccc(COc2ccc(/C=N/NC(=O)c3ccc(CN4CCOCC4)cc3)cc2)cc1
273,O=c1c2ccccc2cnn1CCOc1cccc(Br)c1
274,CCOc1ccc(NC(=O)Nc2cccs2)cc1
275,COc1cccc(NC(=O)C2=COCCO2)c1
276,FC(F)(F)c1ccccc1Cc1c(-c2ccccc2)nc2ccc(Cl)cn12
277,CCOc1cccc(/C=C/c2ccc3ccccc3n2)c1OC(C)=O
278,Nc1nc2ccccc2n1C(=O)c1ccco1
279,CC(C)(C)c1csc(NC(=O)c2cccs2)n1
280,COc1ccc(C(=O)/N=c2\sc3c(C)ccc(OC)c3n2C)cc1
281,COc1ccc(-c2cnn3ccc(-c4ccccc4O)nc23)cc1OC
282,O=C(CSc1ccsc1[N+](=O)[O-])NCc1ccccc1
283,CC(C)c1cc(CNC(=O)CCc2nnc(CCCc3ccccc3)o2)on1
284,COCCN1CCN(C(=O)c2cc(COc3ccc(Cl)cc3OC)on2)CC1
285,COc1cccc2sc3ccc(C#Cc4ccc(N)cc4)cc3c(=O)c12
286,NC(=O)c1c(NC(=O)c2ccccc2F)sc2c1CCCC2
287,Cc1ccc(NC(=O)COc2ccccc2C=O)cc1Cl
288,Cc1ccccc1C(=O)Oc1ccc2ccc(O)cc2c1
289,CCOC(=O)/C(C#N)=C/c1ccc(N2CCCCC2)cc1
290,O=C(CCC1CCCN(C(=O)c2cc3ccccc3o2)C1)NCc1ccc(F)c(F)c1
291,Cc1ccc(NC(=O)C(=O)NCc2ccco2)c(C)c1
292,Cc1cs/c(=N\C(=O)c2ccccc2)n1C
293,N#C/C(=C(\O)c1ccco1)c1ccccn1
294,COc1cccc2sc3ccc(C#CC4(O)CCCCC4)cc3c(=O)c12
295,Cc1cc(C(=O)COC(=O)C2=COCCO2)c(C)n1-c1ccc2c(c1)OCO2
296,CCn1cc(SCC(=O)N2CCOCC2)c2ccccc21
297,CN(C)c1ccc(NC(=O)Nc2ccc3c(c2)nnn3C)cc1
298,N=C(N/N=C/c1ccccc1)C(=N)N/N=C/c1ccccc1
